Query,Line Number,Seed,Link,Rising Value,Date
 Computer Science,13,University of victoria,https://trends.google.ca/trends/explore?q=university+of+victoria&date=now+7-d&geo=CA,+50%,2024-09-26
 Computer Science,14,Ontario tech university,https://trends.google.ca/trends/explore?q=ontario+tech+university&date=now+7-d&geo=CA,+40%,2024-09-26
 Monster,1,Monsters cast 2024,https://trends.google.ca/trends/explore?q=monsters+cast+2024&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,2,Monsters netflix menendez cast,https://trends.google.ca/trends/explore?q=monsters+netflix+menendez+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,3,Monster netflix 2024 cast,https://trends.google.ca/trends/explore?q=monster+netflix+2024+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,4,Nicholas alexander chavez,https://trends.google.ca/trends/explore?q=nicholas+alexander+chavez&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,5,Cast of the lyle and erik menendez story,https://trends.google.ca/trends/explore?q=cast+of+the+lyle+and+erik+menendez+story&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,6,Monster hunter wilds price,https://trends.google.ca/trends/explore?q=monster+hunter+wilds+price&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,7,Leslie abramson,https://trends.google.ca/trends/explore?q=leslie+abramson&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,8,Gentle monster tekken,https://trends.google.ca/trends/explore?q=gentle+monster+tekken&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,9,Menendez brothers netflix cast,https://trends.google.ca/trends/explore?q=menendez+brothers+netflix+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,10,Monsters netflix cast,https://trends.google.ca/trends/explore?q=monsters+netflix+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,11,Nathan lane,https://trends.google.ca/trends/explore?q=nathan+lane&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,12,Leslie grossman,https://trends.google.ca/trends/explore?q=leslie+grossman&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,13,Monster netflix cast,https://trends.google.ca/trends/explore?q=monster+netflix+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,14,Monster menendez cast,https://trends.google.ca/trends/explore?q=monster+menendez+cast&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,15,Ari graynor,https://trends.google.ca/trends/explore?q=ari+graynor&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,16,Cast of monsters netflix,https://trends.google.ca/trends/explore?q=cast+of+monsters+netflix&date=now+7-d&geo=CA,Breakout,2024-09-26
 Monster,17,Monster cast 2024,https://trends.google.ca/trends/explore?q=monster+cast+2024&date=now+7-d&geo=CA,"+4,950%",2024-09-26
 Monster,18,Monster menendez brothers cast,https://trends.google.ca/trends/explore?q=monster+menendez+brothers+cast&date=now+7-d&geo=CA,"+4,950%",2024-09-26
 Monster,19,Robert shapiro,https://trends.google.ca/trends/explore?q=robert+shapiro&date=now+7-d&geo=CA,"+4,800%",2024-09-26
 Monster,20,Cooper koch,https://trends.google.ca/trends/explore?q=cooper+koch&date=now+7-d&geo=CA,"+4,550%",2024-09-26
 Monster,21,Dallas roberts,https://trends.google.ca/trends/explore?q=dallas+roberts&date=now+7-d&geo=CA,"+4,500%",2024-09-26
 Monster,22,Monster hunter wilds pc requirements,https://trends.google.ca/trends/explore?q=monster+hunter+wilds+pc+requirements&date=now+7-d&geo=CA,"+4,450%",2024-09-26
 Monster,23,Javier bardem,https://trends.google.ca/trends/explore?q=javier+bardem&date=now+7-d&geo=CA,"+3,750%",2024-09-26
 Monster,24,Monsters cast,https://trends.google.ca/trends/explore?q=monsters+cast&date=now+7-d&geo=CA,"+3,650%",2024-09-26
 Monster,25,Nicholas chavez,https://trends.google.ca/trends/explore?q=nicholas+chavez&date=now+7-d&geo=CA,"+3,300%",2024-09-26
 Macbook pro,1,Apple october event 2024,https://trends.google.ca/trends/explore?q=apple+october+event+2024&date=now+7-d&geo=CA,+180%,2024-09-26
 Macbook pro,2,Gaming pc,https://trends.google.ca/trends/explore?q=gaming+pc&date=now+7-d&geo=CA,+110%,2024-09-26
 Macbook pro,3,Apple.ca,https://trends.google.ca/trends/explore?q=apple.ca&date=now+7-d&geo=CA,+90%,2024-09-26
 Macbook pro,4,Best monitor for macbook pro,https://trends.google.ca/trends/explore?q=best+monitor+for+macbook+pro&date=now+7-d&geo=CA,+80%,2024-09-26
 Macbook pro,5,Macbook pro serial number lookup,https://trends.google.ca/trends/explore?q=macbook+pro+serial+number+lookup&date=now+7-d&geo=CA,+70%,2024-09-26
 Macbook pro,6,Macbook pro 2017 charger,https://trends.google.ca/trends/explore?q=macbook+pro+2017+charger&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,7,Macbook pro 2017 battery replacement,https://trends.google.ca/trends/explore?q=macbook+pro+2017+battery+replacement&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,8,Macbook pro charger wattage,https://trends.google.ca/trends/explore?q=macbook+pro+charger+wattage&date=now+7-d&geo=CA,+60%,2024-09-26
 Macbook pro,9,Macbook serial number lookup,https://trends.google.ca/trends/explore?q=macbook+serial+number+lookup&date=now+7-d&geo=CA,+50%,2024-09-26
 Macbook pro,10,Macbook pro battery replacement cost,https://trends.google.ca/trends/explore?q=macbook+pro+battery+replacement+cost&date=now+7-d&geo=CA,+40%,2024-09-26
